cluster_id,is_su_dung_nhieu,ratio
0,0,0.9699842022116903
0,1,0.030015797788309637
1,0,0.9462248777838131
1,1,0.053775122216186855
2,0,0.9029622063329928
2,1,0.09703779366700716
