cluster_id,Loại_xe,ratio
0,Tay Ga,0.69826224328594
0,Tay Côn/Moto,0.25434439178515006
0,Xe Số,0.04739336492890995
1,Tay Ga,0.5229042187217092
1,Xe Số,0.26271953648379504
1,Tay Côn/Moto,0.21437624479449574
2,Xe Số,0.6996935648621042
2,Tay Ga,0.24004085801838612
2,Tay Côn/Moto,0.0602655771195097
