cluster_id,Dòng_xe,ratio
0,Sh,0.6050552922590837
0,Dòng Khác,0.07109004739336493
0,Cb,0.037914691943127965
0,Vespa,0.030015797788309637
0,Sport / Xipo,0.023696682464454975
0,Rebel,0.01579778830963665
0,Z1000,0.011058451816745656
0,Cub,0.009478672985781991
0,Yaz,0.009478672985781991
0,Cbr,0.007898894154818325
0,Wave,0.007898894154818325
0,48,0.00631911532385466
0,Exciter,0.00631911532385466
0,Gsx,0.00631911532385466
0,Gts,0.00631911532385466
0,Shadow,0.00631911532385466
0,Spacy,0.00631911532385466
0,Vario,0.00631911532385466
0,Vision,0.00631911532385466
0,Xsr,0.00631911532385466
0,Z800,0.00631911532385466
0,Adv 160,0.004739336492890996
0,Hypermotard,0.004739336492890996
0,R Nine T,0.004739336492890996
0,Scrambler,0.004739336492890996
0,Sportster,0.004739336492890996
0,Street Triple,0.004739336492890996
0,Xmax,0.004739336492890996
0,Z650,0.004739336492890996
0,Z900,0.004739336492890996
0,Air Blade,0.00315955766192733
0,Click,0.00315955766192733
0,Nova,0.00315955766192733
0,R,0.00315955766192733
0,Sprint,0.00315955766192733
0,Sr Gt 200,0.00315955766192733
0,1199 Panigale,0.001579778830963665
0,1290 Super Duke R,0.001579778830963665
0,390,0.001579778830963665
0,Beverly,0.001579778830963665
0,Dream,0.001579778830963665
0,Dylan,0.001579778830963665
0,Dyna,0.001579778830963665
0,Fat Boy,0.001579778830963665
0,Future,0.001579778830963665
0,Gt,0.001579778830963665
0,Gv,0.001579778830963665
0,Interceptor 650,0.001579778830963665
0,Kawasaki,0.001579778830963665
0,Monster,0.001579778830963665
0,Mt,0.001579778830963665
0,Multistrada,0.001579778830963665
0,Ninja,0.001579778830963665
0,R1200,0.001579778830963665
0,Rebellian,0.001579778830963665
0,S1000Rr,0.001579778830963665
0,Satria,0.001579778830963665
0,Street Scramber,0.001579778830963665
0,Street Twin,0.001579778830963665
0,Superlow,0.001579778830963665
0,Touring,0.001579778830963665
0,Tracer,0.001579778830963665
0,Triumph Bonneville T100,0.001579778830963665
0,V-Rod,0.001579778830963665
0,Vulcan,0.001579778830963665
1,Air Blade,0.10429114611624117
1,Wave,0.09686764439616151
1,Exciter,0.08292594604381677
1,Dòng Khác,0.049248596777113886
1,Vision,0.046894803548795945
1,Sh,0.04327358319753757
1,Future,0.041100850986782546
1,Vario,0.039471301828716276
1,Lead,0.036031142495020825
1,Winner X,0.03222886112619953
1,Sirius,0.03204780010863661
1,Vespa,0.031504617055947856
1,Winner,0.028607640774941157
1,Nouvo,0.026434908564186132
1,Mio,0.016295491580662683
1,Attila,0.014847003440159334
1,Dream,0.014847003440159334
1,Sh Mode,0.014122759369907659
1,Janus,0.012855332246967228
1,Blade,0.011225783088900959
1,Jupiter,0.011044722071338041
1,Click,0.010501539018649284
1,Liberty,0.010501539018649284
1,Pcx,0.009053050878145934
1,Luvias,0.007966684772768424
1,Nvx,0.007966684772768424
1,Sonic,0.007966684772768424
1,Hayate,0.007785623755205504
1,Satria,0.006880318667390911
1,Raider,0.006699257649827992
1,Dylan,0.0063371356147021544
1,Elizabeth,0.005975013579576317
1,Cbr,0.004707586456635886
1,Lx,0.004707586456635886
1,Spacy,0.004526525439072967
1,Gsx,0.0043454644215100485
1,Sprint,0.0043454644215100485
1,Grande,0.00416440340394713
1,Nozza,0.00416440340394713
1,R,0.0034401593336954553
1,Fz,0.0032590983161325366
1,Shark,0.003078037298569618
1,@,0.002896976281006699
1,Ps,0.002896976281006699
1,Gts,0.0027159152634437804
1,Axelo,0.0025348542458808617
1,Msx 125,0.0025348542458808617
1,Pg-1,0.0025348542458808617
1,Sport / Xipo,0.002353793228317943
1,Freego,0.0021727322107550242
1,Scr,0.001991671193192106
1,Win,0.001991671193192106
1,Wolf,0.001991671193192106
1,Adv 150,0.001810610175629187
1,Elegant,0.001810610175629187
1,Gz,0.0016295491580662683
1,Tfx,0.0016295491580662683
1,Viva,0.0016295491580662683
1,W175,0.0016295491580662683
1,Xsr,0.0016295491580662683
1,Acruzo,0.0014484881405033496
1,Cb,0.0014484881405033496
1,Mt,0.0014484881405033496
1,Gn,0.0012674271229404308
1,Impulse,0.0012674271229404308
1,Primavera,0.0012674271229404308
1,Vespa S125,0.0012674271229404308
1,Xbike,0.0012674271229404308
1,Duke 200,0.0010863661053775121
1,Enjoy,0.0010863661053775121
1,Fly,0.0010863661053775121
1,Husky,0.0010863661053775121
1,Cg125Fi,0.0009053050878145935
1,Galaxy,0.0009053050878145935
1,Gd,0.0009053050878145935
1,Joyride,0.0009053050878145935
1,Kawasaki,0.0009053050878145935
1,Scoopy,0.0009053050878145935
1,Taurus,0.0009053050878145935
1,Venus,0.0009053050878145935
1,Yb125,0.0009053050878145935
1,Zip,0.0009053050878145935
1,Angela,0.0007242440702516748
1,Bx 150,0.0007242440702516748
1,Django,0.0007242440702516748
1,Espero,0.0007242440702516748
1,Ez,0.0007242440702516748
1,Medley,0.0007242440702516748
1,Rebel,0.0007242440702516748
1,Rebell,0.0007242440702516748
1,Star,0.0007242440702516748
1,Yaz,0.0007242440702516748
1,Beat,0.0005431830526887561
1,Cub,0.0005431830526887561
1,Epicuro,0.0005431830526887561
1,Legend Gentleman 200,0.0005431830526887561
1,Nm-X,0.0005431830526887561
1,Revo,0.0005431830526887561
1,Rock,0.0005431830526887561
1,Smash,0.0005431830526887561
1,Tnt,0.0005431830526887561
1,Bn 302,0.0003621220351258374
1,Cuxi,0.0003621220351258374
1,Demon 150Gn,0.0003621220351258374
1,Demon X 125Cc,0.0003621220351258374
1,Duke 390,0.0003621220351258374
1,Jockey Fi,0.0003621220351258374
1,Vs125,0.0003621220351258374
1,Z1000,0.0003621220351258374
1,125/250,0.0001810610175629187
1,67,0.0001810610175629187
1,Adv 160,0.0001810610175629187
1,Beverly,0.0001810610175629187
1,Bonus,0.0001810610175629187
1,Bullet 500,0.0001810610175629187
1,Bx 125,0.0001810610175629187
1,Candy S,0.0001810610175629187
1,Cd,0.0001810610175629187
1,Cdr,0.0001810610175629187
1,Cello,0.0001810610175629187
1,Citi,0.0001810610175629187
1,Demon 150Gr,0.0001810610175629187
1,Diavel,0.0001810610175629187
1,Duke 250,0.0001810610175629187
1,En,0.0001810610175629187
1,Et8,0.0001810610175629187
1,Feliz S,0.0001810610175629187
1,Fx125,0.0001810610175629187
1,Gt,0.0001810610175629187
1,K-Pipe,0.0001810610175629187
1,Latte,0.0001810610175629187
1,Legend 200,0.0001810610175629187
1,Like Mmc,0.0001810610175629187
1,Madass,0.0001810610175629187
1,Max,0.0001810610175629187
1,Monster,0.0001810610175629187
1,Ninja,0.0001810610175629187
1,People 16 Fi,0.0001810610175629187
1,Phoenix,0.0001810610175629187
1,Rc 200,0.0001810610175629187
1,Rc 250,0.0001810610175629187
1,Sanda Boss,0.0001810610175629187
1,Sapphire,0.0001810610175629187
1,Shadow,0.0001810610175629187
1,Sr 125,0.0001810610175629187
1,Stinger,0.0001810610175629187
1,T15,0.0001810610175629187
1,Vento S,0.0001810610175629187
1,Vulcan,0.0001810610175629187
1,Yass,0.0001810610175629187
1,Z125,0.0001810610175629187
1,Z300,0.0001810610175629187
1,Z650,0.0001810610175629187
2,Dòng Khác,0.2093973442288049
2,Wave,0.18692543411644535
2,Cub,0.13687436159346272
2,Dream,0.10214504596527069
2,67,0.03677221654749745
2,Sirius,0.03268641470888662
2,Chaly,0.02349336057201226
2,Air Blade,0.021450459652706845
2,Vision,0.018386108273748723
2,Mio,0.01634320735444331
2,Attila,0.014300306435137897
2,Max,0.012257405515832482
2,Cd,0.011235955056179775
2,Candy Hi,0.009193054136874362
2,Exciter,0.009193054136874362
2,Vespa,0.009193054136874362
2,Future,0.008171603677221655
2,Lead,0.008171603677221655
2,@,0.007150153217568948
2,Angela,0.007150153217568948
2,Elegant,0.006128702757916241
2,Win,0.006128702757916241
2,Zip,0.006128702757916241
2,Citi,0.005107252298263534
2,Click,0.005107252298263534
2,Espero,0.005107252298263534
2,Galaxy,0.005107252298263534
2,Nio Fi 50Cc,0.005107252298263534
2,Nouvo,0.005107252298263534
2,Candy S,0.0040858018386108275
2,Jupiter,0.0040858018386108275
2,Blade,0.0030643513789581204
2,Cb,0.0030643513789581204
2,Elite,0.0030643513789581204
2,Giorno,0.0030643513789581204
2,Janus,0.0030643513789581204
2,K-Pipe,0.0030643513789581204
2,Magic,0.0030643513789581204
2,Spacy,0.0030643513789581204
2,Elizabeth,0.0020429009193054137
2,Hayate,0.0020429009193054137
2,Kawasaki,0.0020429009193054137
2,Ps,0.0020429009193054137
2,Rebell,0.0020429009193054137
2,Scoopy,0.0020429009193054137
2,Taurus,0.0020429009193054137
2,Vario,0.0020429009193054137
2,Viva,0.0020429009193054137
2,2015 Rsv4 R Aprc Abs,0.0010214504596527069
2,Amigo,0.0010214504596527069
2,Beat,0.0010214504596527069
2,Cuxi,0.0010214504596527069
2,Django,0.0010214504596527069
2,Fly,0.0010214504596527069
2,Liberty,0.0010214504596527069
2,Like Fi,0.0010214504596527069
2,Luvias,0.0010214504596527069
2,Monkey,0.0010214504596527069
2,Msx 125,0.0010214504596527069
2,Nozza,0.0010214504596527069
2,Pepe,0.0010214504596527069
2,R,0.0010214504596527069
2,Raider,0.0010214504596527069
2,Scr,0.0010214504596527069
2,Sh,0.0010214504596527069
2,St,0.0010214504596527069
2,Winner,0.0010214504596527069
