cluster_id,Giá_count,Giá_mean,Giá_min,Giá_max,Khoảng_giá_min_mean,Khoảng_giá_min_min,Khoảng_giá_min_max,Khoảng_giá_max_mean,Khoảng_giá_max_min,Khoảng_giá_max_max,Năm_đăng_ký_mean,Số_Km_đã_đi_mean,age_mean
0,633,131.94274404581358,70.0,886.0,91.1083981042654,3.117,815.12,105.20054976303318,3.659,956.88,2016.2148499210111,24844.973143759875,8.793838862559241
1,5523,20.89574280282455,1.2,69.99,19.174153539742896,1.23,202.63,22.43174723881948,1.44,237.87,2014.7117508600397,38027.80952380953,10.292594604381677
2,979,12.284583236976507,1.2,110.0,11.421879468845761,1.5,85.51,13.306281920326864,1.5,100.39,2006.485188968335,38112.30745658836,18.520939734422882
